Gene_ID,accession,go_id,GOterm_depth,category,evidence_code,go_description,distance,model_name,protein_id,organism,gene_name,reliability_index,support_count,collapsed_support,n_collapsed_terms,collapsed_terms,identity,similarity,alignment_score,gaps_percentage,alignment_length,length_query,length_reference
g_9675,anno1.g10045.t1,GO:0005829,2.0,C,IDA,cytosol,0.0125,ESM,CSX2_SCHPO,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast).,csx2,0.9875,1,0,0,,15.3153,29.1667,-181,32.8829,888,614,870
g_9675,anno1.g10045.t1,GO:0005829,2.0,C,IDA,cytosol,0.0606,Prost-T5,TBC8_CAEEL,Caenorhabditis elegans.,tbc-8 {ECO:0000312|WormBase:C38H2.1a},0.9394,1,0,0,,17.6279,28.6181,-203,33.8411,919,614,913
g_9675,anno1.g10045.t1,GO:0005886,3.0,C,IDA,plasma membrane,0.0125,ESM,CSX2_SCHPO,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast).,csx2,0.9875,1,0,0,,15.3153,29.1667,-181,32.8829,888,614,870
g_9675,anno1.g10045.t1,GO:0005886,3.0,C,IDA,plasma membrane,0.02,ESM3c,TPLAT_ARATH,Arabidopsis thaliana (Mouse-ear cress).,TPLATE,0.98,1,0,0,,14.3453,24.1034,-346,50.7089,1199,614,1176
g_9675,anno1.g10045.t1,GO:0005930,2.0,C,IDA,axoneme,0.0194,ESM3c,GCP2_GIAIC,Giardia intestinalis (strain ATCC 50803 / WB clone C6) (Giardia lamblia).,,0.9806,1,0,0,,16.9043,30.9572,-176,39.613,982,614,961
g_9675,anno1.g10045.t1,GO:0006897,5.0,P,IDA,endocytosis,0.02,ESM3c,TPLAT_ARATH,Arabidopsis thaliana (Mouse-ear cress).,TPLATE,0.98,1,0,0,,14.3453,24.1034,-346,50.7089,1199,614,1176
g_9675,anno1.g10045.t1,GO:0007020,7.0,P,IMP,microtubule nucleation,0.0194,ESM3c,GCP2_GIAIC,Giardia intestinalis (strain ATCC 50803 / WB clone C6) (Giardia lamblia).,,0.9806,1,0,0,,16.9043,30.9572,-176,39.613,982,614,961
g_9675,anno1.g10045.t1,GO:0007265,8.0,P,IMP,Ras protein signal transduction,0.0123,ESM,A0A2H0ZM88_CANAR,Candidozyma auris (Yeast) (Candida auris).,,0.9877,1,0,0,,12.8035,22.5901,-486,55.8499,1359,614,1345
g_9675,anno1.g10045.t1,GO:0008104,3.0,P,IGI,protein localization,0.2256,Prot-T5,NPHP1_CAEEL,Caenorhabditis elegans.,nphp-1 {ECO:0000312|WormBase:M28.7},0.7744,1,0,0,,15.9341,32.4176,-96,21.978,728,614,682
g_9675,anno1.g10045.t1,GO:0008275,3.0,C,IDA,gamma-tubulin small complex,0.0194,ESM3c,GCP2_GIAIC,Giardia intestinalis (strain ATCC 50803 / WB clone C6) (Giardia lamblia).,,0.9806,1,0,0,,16.9043,30.9572,-176,39.613,982,614,961
g_9675,anno1.g10045.t1,GO:0008340,2.0,P,IMP,determination of adult lifespan,0.2256,Prot-T5,NPHP1_CAEEL,Caenorhabditis elegans.,nphp-1 {ECO:0000312|WormBase:M28.7},0.7744,1,0,0,,15.9341,32.4176,-96,21.978,728,614,682
g_9675,anno1.g10045.t1,GO:0009303,9.0,P,IDA,rRNA transcription,0.0122,ESM,CDC10_SCHPO,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast).,cdc10,0.9878,1,0,0,,14.9746,30.203,-105,24.7462,788,614,767
g_9675,anno1.g10045.t1,GO:0009504,2.0,C,IDA,cell plate,0.02,ESM3c,TPLAT_ARATH,Arabidopsis thaliana (Mouse-ear cress).,TPLATE,0.98,1,0,0,,14.3453,24.1034,-346,50.7089,1199,614,1176
g_9675,anno1.g10045.t1,GO:0009555,5.0,P,IMP,pollen development,0.02,ESM3c,TPLAT_ARATH,Arabidopsis thaliana (Mouse-ear cress).,TPLATE,0.98,1,0,0,,14.3453,24.1034,-346,50.7089,1199,614,1176
g_9675,anno1.g10045.t1,GO:0010608,8.0,P,IDA,post-transcriptional regulation of gene expression,0.0204,Ankh3-Large,Q57VY5_TRYB2,Trypanosoma brucei brucei (strain 927/4 GUTat10.1).,Tb08.29H22.940 {ECO:0000313|EMBL:AAZ13215.1},0.9796,1,0,0,,16.9835,31.052,-150,27.2497,789,614,749
g_9675,anno1.g10045.t1,GO:0010608,8.0,P,IDA,post-transcriptional regulation of gene expression,0.0631,Prost-T5,Q38F09_TRYB2,Trypanosoma brucei brucei (strain 927/4 GUTat10.1).,,0.9369,2,0,0,,16.4278,28.0044,-195,35.5017,907,614,878
g_9675,anno1.g10045.t1,GO:0016281,4.0,C,IPI,eukaryotic translation initiation factor 4F complex,0.0204,Ankh3-Large,Q57VY5_TRYB2,Trypanosoma brucei brucei (strain 927/4 GUTat10.1).,Tb08.29H22.940 {ECO:0000313|EMBL:AAZ13215.1},0.9796,1,1,1,GO:0032991,16.9835,31.052,-150,27.2497,789,614,749
g_9675,anno1.g10045.t1,GO:0016281,4.0,C,IPI,eukaryotic translation initiation factor 4F complex,0.0631,Prost-T5,Q38F09_TRYB2,Trypanosoma brucei brucei (strain 927/4 GUTat10.1).,,0.9369,2,0,0,,16.4278,28.0044,-195,35.5017,907,614,878
g_9675,anno1.g10045.t1,GO:0019028,2.0,C,TAS,viral capsid,0.0206,Ankh3-Large,PORTL_HCMVM,Human cytomegalovirus (strain Merlin) (HHV-5) (Human herpesvirus 5).,UL104,0.9794,1,0,0,,18.6684,31.8538,-130,28.8512,766,614,697
g_9675,anno1.g10045.t1,GO:0019904,3.0,F,IPI,protein domain specific binding,0.2437,Prot-T5,O17666_CAEEL,Caenorhabditis elegans.,"aspm-1 {ECO:0000313|EMBL:CAB07174.1, ECO:0000313|WormBase:C45G3.1}",0.7563,1,0,0,,13.5565,25.1046,-364,49.3724,1195,614,1186
g_9675,anno1.g10045.t1,GO:0023041,5.0,P,IC,neuronal signal transduction,0.2256,Prot-T5,NPHP1_CAEEL,Caenorhabditis elegans.,nphp-1 {ECO:0000312|WormBase:M28.7},0.7744,1,0,0,,15.9341,32.4176,-96,21.978,728,614,682
g_9675,anno1.g10045.t1,GO:0023052,3.0,P,IC,signaling,0.0101,ESM,YQG2_SCHPO,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast).,,0.9899,1,0,0,,18.2979,34.8936,-63,22.1277,705,614,640
g_9675,anno1.g10045.t1,GO:0023052,3.0,P,IC,signaling,0.0551,Prost-T5,YQG2_SCHPO,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast).,,0.9449,1,0,0,,18.2979,34.8936,-63,22.1277,705,614,640
g_9675,anno1.g10045.t1,GO:0023052,3.0,P,IC,signaling,0.1814,Prot-T5,YQG2_SCHPO,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast).,,0.8186,1,0,0,,18.2979,34.8936,-63,22.1277,705,614,640
g_9675,anno1.g10045.t1,GO:0030907,4.0,C,IDA,MBF transcription complex,0.0122,ESM,CDC10_SCHPO,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast).,cdc10,0.9878,1,0,0,,14.9746,30.203,-105,24.7462,788,614,767
g_9675,anno1.g10045.t1,GO:0031122,7.0,P,IMP,cytoplasmic microtubule organization,0.0194,ESM3c,GCP2_GIAIC,Giardia intestinalis (strain ATCC 50803 / WB clone C6) (Giardia lamblia).,,0.9806,1,0,0,,16.9043,30.9572,-176,39.613,982,614,961
g_9675,anno1.g10045.t1,GO:0031267,5.0,F,IPI,small GTPase binding,0.0606,Prost-T5,TBC8_CAEEL,Caenorhabditis elegans.,tbc-8 {ECO:0000312|WormBase:C38H2.1a},0.9394,1,0,0,,17.6279,28.6181,-203,33.8411,919,614,913
g_9675,anno1.g10045.t1,GO:0031267,5.0,F,IPI,small GTPase binding,0.2372,Prot-T5,Q9VFX6_DROME,Drosophila melanogaster (Fruit fly).,"TBC1D5 {ECO:0000313|EMBL:AAF54919.1, ECO:0000313|FlyBase:FBgn0038129}",0.7628,1,0,0,,15.9652,31.9303,-92,15.9652,689,614,654
g_9675,anno1.g10045.t1,GO:0031397,11.0,P,IMP,negative regulation of protein ubiquitination,0.0208,ESM3c,LAG2_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast).,LAG2,0.9792,1,0,0,,17.4468,32.1986,-70,19.2908,705,614,660
g_9675,anno1.g10045.t1,GO:0032880,4.0,P,IMP,regulation of protein localization,0.2437,Prot-T5,O17666_CAEEL,Caenorhabditis elegans.,"aspm-1 {ECO:0000313|EMBL:CAB07174.1, ECO:0000313|WormBase:C45G3.1}",0.7563,1,0,0,,13.5565,25.1046,-364,49.3724,1195,614,1186
g_9675,anno1.g10045.t1,GO:0034606,6.0,P,IGI,response to hermaphrodite contact,0.2256,Prot-T5,NPHP1_CAEEL,Caenorhabditis elegans.,nphp-1 {ECO:0000312|WormBase:M28.7},0.7744,1,0,0,,15.9341,32.4176,-96,21.978,728,614,682
g_9675,anno1.g10045.t1,GO:0034607,6.0,P,IGI,turning behavior involved in mating,0.2256,Prot-T5,NPHP1_CAEEL,Caenorhabditis elegans.,nphp-1 {ECO:0000312|WormBase:M28.7},0.7744,1,0,0,,15.9341,32.4176,-96,21.978,728,614,682
g_9675,anno1.g10045.t1,GO:0035869,2.0,C,IDA,ciliary transition zone,0.2256,Prot-T5,NPHP1_CAEEL,Caenorhabditis elegans.,nphp-1 {ECO:0000312|WormBase:M28.7},0.7744,1,0,0,,15.9341,32.4176,-96,21.978,728,614,682
g_9675,anno1.g10045.t1,GO:0036064,3.0,C,IDA,ciliary basal body,0.0194,ESM3c,GCP2_GIAIC,Giardia intestinalis (strain ATCC 50803 / WB clone C6) (Giardia lamblia).,,0.9806,1,0,0,,16.9043,30.9572,-176,39.613,982,614,961
g_9675,anno1.g10045.t1,GO:0036064,3.0,C,IDA,ciliary basal body,0.2256,Prot-T5,NPHP1_CAEEL,Caenorhabditis elegans.,nphp-1 {ECO:0000312|WormBase:M28.7},0.7744,1,0,0,,15.9341,32.4176,-96,21.978,728,614,682
g_9675,anno1.g10045.t1,GO:0039514,8.0,P,EXP,symbiont-mediated suppression of host JAK-STAT cascade,0.0226,Ankh3-Large,NCAP_PPRV,Peste-des-petits-ruminants virus (PPRV).,N,0.9774,1,0,0,,15.7492,33.4862,-93,25.841,654,614,525
g_9675,anno1.g10045.t1,GO:0039579,9.0,P,EXP,symbiont-mediated suppression of host ISG15-protein conjugation,0.0226,Ankh3-Large,NCAP_PPRV,Peste-des-petits-ruminants virus (PPRV).,N,0.9774,1,0,0,,15.7492,33.4862,-93,25.841,654,614,525
g_9675,anno1.g10045.t1,GO:0042802,3.0,F,IPI,identical protein binding,0.02,ESM3c,TPLAT_ARATH,Arabidopsis thaliana (Mouse-ear cress).,TPLATE,0.98,1,0,0,,14.3453,24.1034,-346,50.7089,1199,614,1176
g_9675,anno1.g10045.t1,GO:0042805,4.0,F,IDA,actinin binding,0.2268,Prot-T5,ECM25_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast).,ECM25,0.7732,1,0,0,,16.8421,36.5414,-16,17.594,665,614,599
g_9675,anno1.g10045.t1,GO:0043015,5.0,F,IDA,gamma-tubulin binding,0.0194,ESM3c,GCP2_GIAIC,Giardia intestinalis (strain ATCC 50803 / WB clone C6) (Giardia lamblia).,,0.9806,1,0,0,,16.9043,30.9572,-176,39.613,982,614,961
g_9675,anno1.g10045.t1,GO:0044458,8.0,P,IMP,motile cilium assembly,0.0194,ESM3c,GCP2_GIAIC,Giardia intestinalis (strain ATCC 50803 / WB clone C6) (Giardia lamblia).,,0.9806,1,0,0,,16.9043,30.9572,-176,39.613,982,614,961
g_9675,anno1.g10045.t1,GO:0045892,10.0,P,IDA,negative regulation of DNA-templated transcription,0.0122,ESM,CDC10_SCHPO,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast).,cdc10,0.9878,1,0,0,,14.9746,30.203,-105,24.7462,788,614,767
g_9675,anno1.g10045.t1,GO:0045944,11.0,P,IMP,positive regulation of transcription by RNA polymerase II,0.0122,ESM,CDC10_SCHPO,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast).,cdc10,0.9878,1,2,2,"GO:0006357, GO:0045893",14.9746,30.203,-105,24.7462,788,614,767
g_9675,anno1.g10045.t1,GO:0045944,11.0,P,IMP,positive regulation of transcription by RNA polymerase II,0.0633,Prost-T5,A0A1D8PED2_CANAL,Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast).,"SWI6 {ECO:0000313|CGD:CAL0000183437, ECO:0000313|EMBL:AOW26505.1}",0.9367,1,0,0,,16.5161,32.5161,-101,26.7097,775,614,729
g_9675,anno1.g10045.t1,GO:0050658,7.0,P,IDA,RNA transport,0.0213,ESM3c,Q32Q01_RAT,Rattus norvegicus (Rat).,"Ckap5 {ECO:0000313|EMBL:AAI07911.1, ECO:0000313|RGD:1563596}",0.9787,1,0,0,,19.2901,35.3395,-39,22.6852,648,614,535
g_9675,anno1.g10045.t1,GO:0051046,5.0,P,IMP,regulation of secretion,0.0123,ESM,A0A2H0ZM88_CANAR,Candidozyma auris (Yeast) (Candida auris).,,0.9877,1,0,0,,12.8035,22.5901,-486,55.8499,1359,614,1345
g_9675,anno1.g10045.t1,GO:0051233,2.0,C,IDA,spindle midzone,0.2437,Prot-T5,O17666_CAEEL,Caenorhabditis elegans.,"aspm-1 {ECO:0000313|EMBL:CAB07174.1, ECO:0000313|WormBase:C45G3.1}",0.7563,1,0,0,,13.5565,25.1046,-364,49.3724,1195,614,1186
g_9675,anno1.g10045.t1,GO:0051296,9.0,P,IMP,establishment of meiotic spindle orientation,0.2437,Prot-T5,O17666_CAEEL,Caenorhabditis elegans.,"aspm-1 {ECO:0000313|EMBL:CAB07174.1, ECO:0000313|WormBase:C45G3.1}",0.7563,1,0,0,,13.5565,25.1046,-364,49.3724,1195,614,1186
g_9675,anno1.g10045.t1,GO:0051510,6.0,P,IMP,regulation of unidimensional cell growth,0.2268,Prot-T5,ECM25_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast).,ECM25,0.7732,1,0,0,,16.8421,36.5414,-16,17.594,665,614,599
g_9675,anno1.g10045.t1,GO:0060090,1.0,F,EXP,molecular adaptor activity,0.0216,Ankh3-Large,NCAP_HENDH,Hendra virus (isolate Horse/Autralia/Hendra/1994).,N,0.9784,1,0,0,,14.4201,31.8182,-115,20.3762,638,614,532
g_9675,anno1.g10045.t1,GO:0062040,6.0,C,IDA,fungal biofilm matrix,0.0124,ESM,Q6FWD6_CANGA,Candida glabrata (strain ATCC 2001 / BCRC 20586 / JCM 3761 / NBRC 0622 / NRRL Y-65 / CBS 138) (Yeast) (Nakaseomyces glabratus).,,0.9876,1,0,0,,15.4491,29.8204,-175,30.4192,835,614,802
g_9675,anno1.g10045.t1,GO:0080135,5.0,P,IMP,regulation of cellular response to stress,0.2268,Prot-T5,ECM25_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast).,ECM25,0.7732,1,0,0,,16.8421,36.5414,-16,17.594,665,614,599
g_9675,anno1.g10045.t1,GO:0090522,5.0,P,IC,vesicle tethering involved in exocytosis,0.0202,ESM3c,SEC5_SCHPO,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast).,sec5,0.9798,1,0,0,,16.7866,31.8945,-106,28.6571,834,614,815
g_9675,anno1.g10045.t1,GO:0097546,2.0,C,IDA,ciliary base,0.2256,Prot-T5,NPHP1_CAEEL,Caenorhabditis elegans.,nphp-1 {ECO:0000312|WormBase:M28.7},0.7744,1,0,0,,15.9341,32.4176,-96,21.978,728,614,682
g_9675,anno1.g10045.t1,GO:0097568,2.0,C,IDA,median body,0.0194,ESM3c,GCP2_GIAIC,Giardia intestinalis (strain ATCC 50803 / WB clone C6) (Giardia lamblia).,,0.9806,1,0,0,,16.9043,30.9572,-176,39.613,982,614,961
g_9675,anno1.g10045.t1,GO:0097718,4.0,F,IPI,disordered domain specific binding,0.0216,Ankh3-Large,NCAP_HENDH,Hendra virus (isolate Horse/Autralia/Hendra/1994).,N,0.9784,1,0,0,,14.4201,31.8182,-115,20.3762,638,614,532
g_9675,anno1.g10045.t1,GO:0097729,6.0,C,IDA,9+2 motile cilium,0.0194,ESM3c,GCP2_GIAIC,Giardia intestinalis (strain ATCC 50803 / WB clone C6) (Giardia lamblia).,,0.9806,1,0,0,,16.9043,30.9572,-176,39.613,982,614,961
g_9675,anno1.g10045.t1,GO:0097730,5.0,C,IDA,non-motile cilium,0.2256,Prot-T5,NPHP1_CAEEL,Caenorhabditis elegans.,nphp-1 {ECO:0000312|WormBase:M28.7},0.7744,1,0,0,,15.9341,32.4176,-96,21.978,728,614,682
g_9675,anno1.g10045.t1,GO:1900087,9.0,P,IMP,positive regulation of G1/S transition of mitotic cell cycle,0.0122,ESM,CDC10_SCHPO,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast).,cdc10,0.9878,1,0,0,,14.9746,30.203,-105,24.7462,788,614,767
g_9675,anno1.g10045.t1,GO:1903673,8.0,P,IMP,mitotic cleavage furrow formation,0.0194,ESM3c,GCP2_GIAIC,Giardia intestinalis (strain ATCC 50803 / WB clone C6) (Giardia lamblia).,,0.9806,1,1,1,GO:1902410,16.9043,30.9572,-176,39.613,982,614,961
g_9675,anno1.g10045.t1,GO:1905515,8.0,P,IMP,non-motile cilium assembly,0.2256,Prot-T5,NPHP1_CAEEL,Caenorhabditis elegans.,nphp-1 {ECO:0000312|WormBase:M28.7},0.7744,1,0,0,,15.9341,32.4176,-96,21.978,728,614,682
g_9675,anno1.g10045.t1,GO:1990502,8.0,P,IMP,dense core granule maturation,0.0606,Prost-T5,TBC8_CAEEL,Caenorhabditis elegans.,tbc-8 {ECO:0000312|WormBase:C38H2.1a},0.9394,1,0,0,,17.6279,28.6181,-203,33.8411,919,614,913
g_9675,anno1.g10045.t1,GO:1990841,3.0,F,EXP,promoter-specific chromatin binding,0.0122,ESM,CDC10_SCHPO,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast).,cdc10,0.9878,1,0,0,,14.9746,30.203,-105,24.7462,788,614,767
g_9796,anno1.g10168.t1,GO:0000014,6.0,F,IDA,single-stranded DNA endodeoxyribonuclease activity,0.0115,ESM3c,COM1_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast).,SAE2,0.9885,1,1,1,GO:0004520,14.726,26.8836,-140,42.637,584,574,345
g_9796,anno1.g10168.t1,GO:0000706,8.0,P,IMP,meiotic DNA double-strand break processing,0.0115,ESM3c,COM1_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast).,SAE2,0.9885,1,2,1,GO:0000729,14.726,26.8836,-140,42.637,584,574,345
g_9796,anno1.g10168.t1,GO:0000785,2.0,C,IDA,chromatin,0.0097,ESM,YJNJ_SCHPO,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast).,,0.9903,1,0,0,,18.593,33.6683,-29,21.273,597,574,493
g_9796,anno1.g10168.t1,GO:0000786,3.0,C,IDA,nucleosome,0.0325,Prost-T5,G8JY65_CAEEL,Caenorhabditis elegans.,"mes-3 {ECO:0000313|EMBL:CCD67545.2, ECO:0000313|WormBase:F54C1.3b}",0.9675,2,0,0,,17.0984,31.8653,-90,30.4404,772,574,735
g_9796,anno1.g10168.t1,GO:0000812,6.0,C,IDA,Swr1 complex,0.1703,Prot-T5,SWC3_SCHPO,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast).,swc3,0.8297,1,0,0,,15.9864,30.102,-123,35.8844,588,574,391
g_9796,anno1.g10168.t1,GO:0001666,5.0,P,IMP,response to hypoxia,0.0202,Ankh3-Large,CEP1_CAEEL,Caenorhabditis elegans.,cep-1 {ECO:0000312|WormBase:F52B5.5a},0.9798,1,0,0,,18.705,32.9496,-50,24.7482,695,574,644
g_9796,anno1.g10168.t1,GO:0003690,4.0,F,IDA,double-stranded DNA binding,0.0115,ESM3c,COM1_YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast).,SAE2,0.9885,1,0,0,,14.726,26.8836,-140,42.637,584,574,345
g_9796,anno1.g10168.t1,GO:0003700,2.0,F,IDA,DNA-binding transcription factor activity,0.0202,Ankh3-Large,CEP1_CAEEL,Caenorhabditis elegans.,cep-1 {ECO:0000312|WormBase:F52B5.5a},0.9798,1,0,0,,18.705,32.9496,-50,24.7482,695,574,644
